# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	582
#@/user_id	29c084a4-a1b2-43db-897a-9fc57eac2c65
a 	啊	c=1 d=1 t=569
ai 	愛	c=1 d=1 t=363
ai qing 	愛情	c=1 d=1 t=65
an quan 	安全	c=1 d=1.07945 t=550
an quan fa 	安全法	c=1 d=1 t=505
ban 	版	c=2 d=0.498343 t=558
bao hu 	保護	c=0 d=0.1 t=535
bei cheng wei 	被稱爲	c=1 d=1 t=243
ben shen 	本身	c=1 d=1 t=381
bi hua 	筆畫	c=2 d=1.72253 t=220
bi ji 	筆記	c=0 d=0.1 t=388
bi ji ruan jian 	筆記軟件	c=1 d=1 t=389
bi lai bi qu 	比來比去	c=1 d=1 t=46
bian ji 	編輯	c=3 d=1.64324 t=579
bian ji qi 	編輯器	c=2 d=0.445439 t=582
bian jian 	便箋	c=1 d=1 t=54
bian qian 	便籤	c=2 d=1.97531 t=60
bian tiao 	便條	c=1 d=1 t=56
biao 	表	c=1 d=1 t=198
biao qian 	標籤	c=0 d=0.1 t=290
biao qian ye 	標籤頁	c=1 d=1 t=291
biao qing fu hao 	表情符號	c=1 d=1 t=221
bing 	並	c=2 d=2.04271 t=330
bing shi yong 	並使用	c=1 d=1 t=279
bu fen 	部分	c=0 d=0.1 t=438
bu gan ni 	不干你	c=0 d=0.0960789 t=582
bu quan 	補全	c=2 d=2.07773 t=450
bu quan chuang kou 	補全窗口	c=1 d=1 t=451
bu yi yang 	不一樣	c=1 d=1 t=402
bu yong 	不用	c=0 d=0.1 t=460
bu yong shu biao 	不用鼠標	c=1 d=1 t=461
bu zhi chi 	不支持	c=1 d=1 t=209
bu zhong 	不忠	c=0 d=0.1 t=366
cai 	才	c=1 d=1 t=110
cai feng 	裁縫	c=1 d=1 t=90
can ji ren 	殘疾人	c=1 d=1 t=185
cang jie 	倉頡	c=1 d=1 t=170
cang jie shu ru fa 	倉頡輸入法	c=1 d=1 t=171
ce zhong yu 	側重於	c=1 d=1 t=391
cha jian 	插件	c=1 d=1 t=398
chan pin 	產品	c=0 d=0.1 t=411
